Gene	Expr0	Expr1	Expr2	Expr3	Expr4
ZZEF1	0.343567	0.351323	0.439517	0.278473	0.491278
ZYX	0.551934	0.711513	1.06897	0.769061	0.578939
ZYG11B	0.333836	0.301974	0.315879	0.34711	0.338978
ZXDC	0.376113	0.229649	0.402286	0.515591	0.605949
ZXDB	0.271246	0.203752	0.398952	0.261663	0.354746
ZWILCH	0.263924	0.230806	0.238811	0.352171	0.857838
ZW10	0.524425	0.347371	0.444688	0.427767	0.780411
ZSWIM9	0.291439	0.21836	0.27896	0.312828	0.364595
ZSWIM8	0.603844	0.461109	0.711794	0.568908	0.564583
ZSWIM7	0.716447	0.626392	0.58677	0.653867	0.535048
ZSWIM6	0.400024	0.291285	0.515793	0.630769	0.560245
ZSCAN5A	0.740815	0.623015	0.513784	0.484592	0.529471
ZSCAN32	0.299303	0.17714	0.245885	0.52658	0.265353
ZSCAN31	0.521594	0.361173	0.18792	0.232452	0.258169
ZSCAN30	0.465369	0.364628	0.454292	0.512551	0.395677
ZSCAN29	0.251107	0.218967	0.398307	0.331086	0.424084
ZSCAN26	0.347246	0.281265	0.283827	0.364337	0.271856
ZSCAN21	0.362868	0.313884	0.305527	0.380408	0.388608
ZSCAN18	0.832015	0.656917	0.791556	0.866354	0.545504
ZSCAN16-AS1	0.678189	0.56471	0.367237	0.61389	0.533195
ZSCAN1	0.527741	0.522508	0.362532	0.617063	0.485509
ZRSR2	0.371949	0.37951	0.363339	0.575322	0.336386
ZRANB3	0.367818	0.295476	0.369003	0.362621	0.793014
ZRANB2	0.65689	0.708779	0.799676	0.627766	0.866773
ZRANB1	0.461728	0.381549	0.401532	0.407385	0.457058
ZPR1	0.349626	0.424277	0.351854	0.474815	0.352103
ZNRF3-AS1	0.221085	0.231469	0.364079	0.299866	0.519331
ZNRF2	0.630517	0.64772	0.365289	0.3747	0.759616
ZNRF1	0.289516	0.265521	0.228221	0.32648	0.312049
ZNRD1	0.446955	0.464051	0.597278	0.838395	0.365939
ZNHIT6	0.321501	0.341223	0.354035	0.39212	0.30492
ZNHIT3	0.494958	0.539779	0.446447	0.149793	0.527511
ZNHIT2	0.951409	0.769095	0.925946	0.706561	0.68724
ZNHIT1	0.908705	0.954174	0.788627	0.810353	0.654096
ZNFX1	0.303202	0.368891	0.569229	0.443935	0.434764
ZNF92	0.339856	0.40044	0.286787	0.539462	0.65924
ZNF91	0.617656	0.662406	0.660874	0.516267	0.715893
ZNF90	0.340209	0.223769	0.204491	0.84762	1.17097
ZNF888	0.515551	0.603844	0.755332	1.35335	0.617298
ZNF880	0.263227	0.273564	0.296052	0.320958	0.390734
ZNF865	0.321155	0.354339	0.351538	0.399674	0.414146
ZNF862	0.298013	0.310677	0.251883	0.215741	0.260182
ZNF853	0.425889	0.322401	0.335243	0.352533	0.425792
ZNF850	0.259785	0.29066	0.354588	0.357924	0.628764
ZNF85	0.340505	0.217417	0.397409	0.479375	0.70504
ZNF846	0.614389	0.413421	0.327492	0.842721	0.485458
ZNF844	0.254667	0.190868	0.379166	0.514218	0.321489
ZNF841	0.132722	0.3596	0.331533	0.249919	0.389313
ZNF84	0.496135	0.425824	0.401652	0.476091	0.435202
ZNF839	0.392043	0.438293	0.481227	0.491812	0.511215
ZNF837	0.570171	0.561331	0.302231	0.524766	0.603236
ZNF830	0.328067	0.301588	0.309968	0.560774	0.456964
ZNF83	0.416656	0.485149	0.651509	0.449102	0.874136
ZNF827	0.587999	0.563744	0.646725	0.63291	0.648548
ZNF814	0.47833	0.322274	0.673828	0.384293	0.393746
ZNF813	0.531159	0.319791	0.340129	0.7608	0.503094
ZNF808	0.349818	0.336318	0.379388	0.303167	0.422513
ZNF805	0.205918	0.37274	0.447167	0.231715	0.393834
ZNF800	0.636126	0.53662	0.609084	0.641102	0.650811
ZNF793-AS1	0.357732	0.244193	0.259303	0.392153	0.157277
ZNF791	0.404979	0.370722	0.516499	0.507952	0.475656
ZNF790	0.320311	0.230154	0.382346	0.343067	0.367125
ZNF79	0.365525	0.196871	0.282665	0.387848	0.408299
ZNF789	0.238982	0.197891	0.299491	0.26408	0.479127
ZNF788P	0.28707	0.120086	0.298611	0.896706	1.19168
ZNF787	0.489183	0.477201	0.437462	0.633385	0.535297
ZNF784	0.381461	0.189919	0.187058	0.518183	0.391768
ZNF777	0.377723	0.265593	0.37749	0.39224	0.414211
ZNF776	0.264128	0.258133	0.350769	0.315543	0.410026
ZNF775	0.391559	0.302161	0.249627	0.536013	0.320334
ZNF771	0.316771	0.367114	0.42374	0.44401	0.483736
ZNF770	0.547173	0.517618	0.510172	0.610369	0.715674
ZNF77	0.349161	0.206656	0.257674	0.527841	0.260363
ZNF768	0.491022	0.425534	0.49683	0.63463	0.415294
ZNF766	0.281847	0.272059	0.451224	0.467144	0.429354
ZNF765	0.346804	0.238934	0.362565	0.431826	0.314407
ZNF761	0.410916	0.445631	0.333492	0.554461	0.347065
ZNF76	0.627579	0.48521	0.610993	0.423955	0.746296
ZNF75A	0.455586	0.398383	0.540603	0.525768	0.594453
ZNF746	0.403104	0.416472	0.485355	0.418373	0.463874
ZNF740	0.375634	0.340312	0.338578	0.415824	0.590664
ZNF726	0.134182	0.0639171	0.142191	0.349784	0.666966
ZNF724	0.187324	0.13833	0.237221	0.560138	1.37795
ZNF721	0.503145	0.565314	0.626663	0.699934	0.703269
ZNF720	0.424739	0.394306	0.444752	0.533195	0.46949
ZNF718	0.187261	0.19381	0.351821	0.334534	0.936154
ZNF717	0.310387	0.309374	0.380253	0.46091	0.230978
ZNF714	0.381582	0.430446	0.457079	0.515026	0.924465
ZNF711	0.319583	0.301435	0.296193	0.340437	0.524766
ZNF710	0.336615	0.266073	0.210975	0.517366	0.453744
ZNF71	0.209141	0.259086	0.309083	0.35549	0.320681
ZNF708	0.404489	0.445388	0.633041	0.363384	0.502351
ZNF706	0.735756	0.861797	0.819546	0.212881	0.744859
ZNF703	0.291356	0.244765	0.323128	0.242438	0.339685
ZNF701	0.433024	0.322528	0.378378	0.446076	0.454608
ZNF700	0.276223	0.168706	0.274888	0.323854	0.425019
ZNF70	0.349161	0.338259	0.143002	0.288205	0.291179
