GeneID	NAME	WTCa_vs_WT	WT_vs_WTFK	WT_vs_cna1	WT_vs_crz1	WTCa_vs_WTFK	WTCa_vs_cna1	WTCa_vs_crz1	WTFK_vs_cna1	WTFK_vs_crz1	cna1_vs_crz1
CAGL0A00110g	CAGL0A00110g:Unknown	0.2593730128	-1.1002204035	-1.2193792752	-0.8380027395	-0.8408473907	-0.9600062624	-0.5786297267	-0.1191588717	0.262217664	0.3813765357
CAGL0A00121g	CAGL0A00121g:Unknown	-0.0249209558999999	-0.110541996100000	-0.0158094454000001	-0.1025349604	-0.135462952	-0.0407304013000000	-0.1274559163	0.0947325507	0.00800703569999996	-0.0867255150000001
CAGL0A00143g	CAGL0A00143g:Unknown	-0.2588174983	0.2931424376	0.00328733330000008	1.1863277968	0.0343249393	-0.255530165	0.9275102985	-0.2898551043	0.8931853592	1.1830404635
CAGL0A00165g	CAGL0A00165g:	-0.1581469767	0.2685691145	0.0214461967	-0.0476284369	0.1104221378	-0.136700780000000	-0.2057754136	-0.2471229178	-0.3161975514	-0.0690746336
CAGL0A00187g	PIB2:Protein binding phosphatidylinositol 3-phosphate, involved in telomere-proximal repression of gene expression; similar to Fab1 and Vps27	-0.1304878671	0.1666358607	0.2924655979	0.1072786678	0.0361479936	0.1619777308	-0.0232091993	0.1258297372	-0.0593571929	-0.1851869301
CAGL0A00209g	STT3:Subunit of the oligosaccharyltransferase complex of the ER lumen, which catalyzes asparagine-linked glycosylation of newly synthesized proteins; forms a subcomplex with Ost3p and Ost4p and is directly involved in catalysis	0.1834489112	0.00135500179999999	0.2910169369	-0.0669749055	0.184803913	0.4744658481	0.116474005700000	0.2896619351	-0.0683299073000001	-0.3579918424
CAGL0A00231g	ALK1:Protein kise; accumulation and phosphorylation are periodic during the cell cycle; phosphorylated in response to D damage; contains characteristic motifs for degradation via the APC pathway; similar to Alk2p and to mammalian haspins	-0.1502222043	-0.1743246076	-0.1585929375	0.2192983623	-0.3245468119	-0.3088151418	0.069076158	0.0157316701000000	0.3936229699	0.3778912998
CAGL0A00253g	GET1:Subunit of the GET complex; involved in insertion of proteins into the ER membrane; required for the retrieval of HDEL proteins from the Golgi to the ER in an ERD2 dependent fashion and for normal mitochondrial morphology and inheritance	0.1899720429	-0.0197244087000000	0.0576856695	0.0496421161	0.1702476342	0.2476577124	0.239614159	0.0774100782	0.0693665248	-0.00804355339999997
CAGL0A00275g	CKB1:Beta regulatory subunit of casein kise 2, a Ser/Thr protein kise with roles in cell growth and proliferation; the holoenzyme also contains CKA1, CKA2 and CKB2, the many substrates include transcription factors and all R polymerases	-0.0901545099	-0.0201967724000000	0.084803025	0.1646512415	-0.1103512823	-0.00535148489999998	0.0744967316	0.1049997974	0.1848480139	0.0798482165
CAGL0A00297g	JAC1:Specialized J-protein that functions with Hsp70 in Fe-S cluster biogenesis in mitochondria, involved in iron metabolism; contains a J domain typical to J-type chaperones; localizes to the mitochondrial matrix	-0.1564604371	0.2342038301	0.4956286281	-0.0798434448	0.077743393	0.339168191	-0.2363038819	0.261424798	-0.3140472749	-0.5754720729
CAGL0A00319g	ATE1:Arginyl-tR-protein transferase, catalyzes post-translatiol conjugation of arginine to the amino termini of acceptor proteins which are then subject to degradation via the N-end rule pathway	-0.0944314261	0.029305631	-0.0233913925000000	-0.2002156201	-0.0651257951	-0.1178228186	-0.2946470462	-0.0526970235	-0.2295212511	-0.1768242276
CAGL0A00341g	CAGL0A00341g:	-0.5806318602	0.5244797133	0.6772506082	-0.0843069161999999	-0.0561521468999999	0.0966187479999999	-0.6649387764	0.152770894900000	-0.6087866295	-0.7615575244
CAGL0A00363g	LEU1:Isopropylmalate isomerase, catalyzes the second step in the leucine biosynthesis pathway	-0.3359211472	-0.1336487641	-0.0788349224	-0.2220013232	-0.4695699113	-0.4147560696	-0.5579224704	0.0548138417	-0.0883525591	-0.1431664008
CAGL0A00385g	KAP122:Karyopherin beta, responsible for import of the Toa1p-Toa2p complex into the nucleus; binds to nucleoporins Nup1p and Nup2p; may play a role in regulation of pleiotropic drug resistance	-0.0910647104	0.1167194363	0.0459722315	0.2200788313	0.0256547259	-0.0450924789	0.1290141209	-0.0707472048	0.103359395	0.1741065998
CAGL0A00407g	SCL1:Alpha 1 subunit of the 20S proteasome involved in the degradation of ubiquitited substrates; 20S proteasome is the core complex of the 26S proteasome; essential for growth; detected in the mitochondria	0.0611878457	0.00759922009999997	0.1018664883	-0.0311769537	0.0687870658	0.163054334	0.030010892	0.0942672682	-0.0387761738	-0.133043442
CAGL0A00429g	ERG4:C-24(28) sterol reductase, catalyzes the fil step in ergosterol biosynthesis; mutants are viable, but lack ergosterol	0.046109297	-0.3482883508	-0.3261176183	-0.1293900869	-0.3021790538	-0.2800083213	-0.0832807899	0.0221707324999999	0.2188982639	0.1967275314
CAGL0A00451g	PDR1:Zinc cluster protein that is a master regulator involved in recruiting other zinc cluster proteins to pleiotropic drug response elements (PDREs) to fine tune the regulation of multidrug resistance genes	-0.0615785043000001	-0.8793508607	0.4119852424	0.4947935085	-0.940929365	0.3504067381	0.4332150042	1.2913361031	1.3741443692	0.0828082661
CAGL0A00473g	PUF4:Member of the PUF protein family, which is defined by the presence of Pumilio homology domains that confer R binding activity; preferentially binds mRs encoding nucleolar ribosomal R-processing factors	0.125753643	-0.0522290499	-0.2908464544	-0.0676746902	0.0735245931	-0.1650928114	0.0580789528	-0.2386174045	-0.0154456403	0.2231717642
CAGL0A00495g	PMA1:Plasma membrane H+-ATPase, pumps protons out of the cell; major regulator of cytoplasmic pH and plasma membrane potential; part of the P2 subgroup of cation-transporting ATPases	-0.0634852203	0.2552540883	0.2781657676	-0.0945595982	0.191768868	0.2146805473	-0.1580448185	0.0229116792999999	-0.3498136865	-0.3727253658
CAGL0A00517g	PMC1:Vacuolar Ca2+ ATPase involved in depleting cytosol of Ca2+ ions; prevents growth inhibition by activation of calcineurin in the presence of elevated concentrations of calcium; similar to mammalian PMCA1a	0.2484469865	0.1497017276	0.3162572359	-0.0424360765	0.3981487141	0.5647042224	0.20601091	0.166555508300000	-0.1921378041	-0.3586933124
CAGL0A00539g	COG7:Component of the conserved oligomeric Golgi complex (Cog1p through Cog8p), a cytosolic tethering complex that functions in protein trafficking to mediate fusion of transport vesicles to Golgi compartments	-0.5779376511	0.2476621875	0.4112969352	0.1378347707	-0.3302754636	-0.1666407159	-0.4401028804	0.1636347477	-0.1098274168	-0.2734621645
CAGL0A00561g	RPN14:Proteasome-interacting protein involved in the assembly of the base subcomplex of the 19S proteasome regulatory particle (RP); null mutants accumulate ubiquitited Gcn4p and display decreased 26S proteasome stability; interacts with Rpt5p	-0.1143505115	0.111744394	0.1141269531	0.1402838589	-0.00260611749999996	-0.000223558399999959	0.0259333474000001	0.00238255910000005	0.0285394649000001	0.0261569058000000
CAGL0A00583g	CAGL0A00583g:	-0.1884638498	0.2137237381	0.2680819413	0.2323785948	0.0252598883	0.0796180915	0.043914745	0.0543582032	0.0186548567000000	-0.0357033465
